player_id,name,date_of_birth,idade,position,sub_position,posicao_projeto,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,cartoes,dados_completos
1365897,Zé Lucas,2008-03-23,18.0,Midfield,Defensive Midfield,Volante,right,174.0,Brazil,Sport Club do Recife,,,,,0,0,0,False
1365898,Rafinha,2006-04-17,20.0,Defender,Centre-Back,Zagueiro,left,180.0,Brazil,Sport Club do Recife,,,,,0,0,0,False
1365900,Felipinho,2006-11-06,19.0,Attack,Right Winger,Ponta,both,182.0,Brazil,Sport Club do Recife,,,,,0,0,0,False
1365901,Luizinho,2006-06-01,20.0,Midfield,Defensive Midfield,Volante,right,,Brazil,Sport Club do Recife,,,,,0,0,0,False
1365902,Gabriel Henrique,2006-03-25,20.0,Defender,Left-Back,Lateral,left,,Brazil,Sport Club do Recife,,,,,0,0,0,False
1365903,Kauã,2007-05-30,19.0,Goalkeeper,Goalkeeper,Goleiro,,,Brazil,Sport Club do Recife,,,,,0,0,0,False
1365904,Marco Polo,2008-12-08,17.0,Midfield,Attacking Midfield,Meia,right,,Brazil,Sport Club do Recife,,,,,0,0,0,False
1366040,Riquelme,2007-01-03,19.0,Defender,Centre-Back,Zagueiro,both,190.0,Brazil,Sport Club do Recife,,,,,0,0,0,False
1367322,Eric Soares,2006-01-08,20.0,Midfield,Central Midfield,Meia,right,,Brazil,Clube Atlético Mineiro,,,,,0,0,0,False
1368351,Guilherme Gama,2008-06-01,18.0,Defender,Centre-Back,Zagueiro,left,,Brazil,Sport Club Corinthians Paulista,,,,,0,0,0,False
1370310,João Vitor,2007-01-03,19.0,Defender,Right-Back,Lateral,right,178.0,Brazil,Sport Club Corinthians Paulista,,,,,0,0,0,False
1370606,Léo Nannetti,2007-08-21,18.0,Goalkeeper,Goalkeeper,Goleiro,left,196.0,Brazil,Clube de Regatas do Flamengo,,,,,0,0,0,False
1371501,Luís Gustavo,2006-03-24,20.0,Defender,Right-Back,Lateral,right,174.0,Brazil,Clube Atlético Mineiro,,,,,0,0,0,False
1376049,Luiz Felipe,2008-02-08,18.0,Midfield,Defensive Midfield,Volante,right,183.0,Brazil,Clube de Regatas do Flamengo,,,,,0,0,0,False
1380266,Heittor,2007-09-18,18.0,Attack,Centre-Forward,Centroavante,right,170.0,Brazil,Sociedade Esportiva Palmeiras,,,,,0,0,0,False
1383406,Gabriel Veneno,2009-07-16,16.0,Attack,Right Winger,Ponta,left,169.0,Brazil,Clube Atlético Mineiro,,,,,0,0,0,False
1383716,Djhordney,2007-06-17,19.0,Midfield,Central Midfield,Meia,right,174.0,Brazil,São Paulo Futebol Clube,500000.0,500000.0,,,0,0,0,False
1387007,Nicolas,2007-04-08,19.0,Defender,Left-Back,Lateral,left,176.0,Brazil,São Paulo Futebol Clube,,,,,0,0,0,False
1388409,Kauã Moraes,2006-09-29,19.0,Defender,Right-Back,Lateral,right,174.0,Brazil,Cruzeiro Esporte Clube,2000000.0,2000000.0,,,0,0,0,False
1393375,Yago Melo,2007-02-06,19.0,Defender,Centre-Back,Zagueiro,right,,Brazil,Clube de Regatas do Flamengo,,,,,0,0,0,False
1408362,Gustavo Santana,2008-03-02,18.0,Defender,Left-Back,Lateral,both,,Brazil,Esporte Clube Bahia,,,,,2,0,13,False
1410674,Mamady Cissé,2007-07-01,19.0,Midfield,Central Midfield,Meia,right,184.0,Guinea,Clube Atlético Mineiro,1000000.0,1000000.0,,,0,0,0,False
1412424,Vitor Lamounier,2007-10-18,18.0,Goalkeeper,Goalkeeper,Goleiro,right,192.0,Brazil,Cruzeiro Esporte Clube,,,,,0,0,0,False
1416506,Cléber Lucas,2007-02-22,19.0,Goalkeeper,Goalkeeper,Goleiro,right,192.0,Brazil,S. A. F. Botafogo,,,,,0,0,0,False
1423021,Kauê Furquim,2009-02-27,17.0,Attack,Right Winger,Ponta,left,173.0,Brazil,Sport Club Corinthians Paulista,,,,,0,0,0,False
1423022,Diego Minete,2009-01-27,17.0,Attack,Centre-Forward,Centroavante,left,183.0,Brazil,Club de Regatas Vasco da Gama,,,,,0,0,0,False
1427404,Kauan Vitor,2006-06-15,20.0,Defender,Left-Back,Lateral,left,171.0,Brazil,Esporte Clube Vitória,,,,,0,0,0,False
1446971,Gabriel Menegon,2008-10-14,17.0,Goalkeeper,Goalkeeper,Goleiro,right,196.0,Brazil,Grêmio Foot-Ball Porto Alegrense,,,,,0,0,0,False
1459871,Victor Hugo,2008-12-12,17.0,Defender,Left-Back,Lateral,left,,Brazil,Sport Club do Recife,,,,,0,0,0,False
1464878,Kadir Barría,2007-07-18,18.0,Attack,Centre-Forward,Centroavante,right,183.0,Panama,S. A. F. Botafogo,2000000.0,2000000.0,,,0,0,0,False
1471677,Alisson,2008-07-31,17.0,Defender,Left-Back,Lateral,left,173.0,Brazil,Sport Club Internacional,,,,,0,0,0,False
1488557,Gabriel Werneck,2009-02-14,17.0,Goalkeeper,Goalkeeper,Goleiro,right,185.0,Brazil,Clube de Regatas do Flamengo,,,,,0,0,0,False
1488788,Gui Amorim,2008-01-15,18.0,Midfield,Attacking Midfield,Meia,right,178.0,Brazil,Sport Club Corinthians Paulista,,,,,0,0,0,False
1500420,Bruninho,2008-08-16,17.0,Attack,Right Winger,Ponta,left,175.0,Brazil,Clube Atlético Paranaense,7000000.0,7000000.0,,,0,0,0,False
1519143,Anderson Pato,2002-09-28,23.0,Attack,Left Winger,Ponta,right,178.0,Brazil,Esporte Clube Vitória,250000.0,250000.0,,,0,0,0,False
