player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY_x,Performance_CrdR_x,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_CrdY_y,Performance_CrdR_y,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
961022,Benja Domínguez,2003-09-19,22.0,Attack,Left Winger,right,172.0,Argentina,Bologna Football Club 1909,9000000.0,15000000.0,39,1829,3,5,Ponta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964580,Wesley,2003-09-06,22.0,Defender,Right-Back,right,175.0,Brazil,Associazione Sportiva Roma,40000000.0,40000000.0,30,2458,5,1,Lateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969192,Ebenezer Akinsanmiro,2004-11-25,21.0,Midfield,Central Midfield,right,184.0,Nigeria,Pisa Sporting Club,7000000.0,7000000.0,25,1460,0,1,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980575,Oumar Ngom,2004-03-09,22.0,Midfield,Defensive Midfield,right,190.0,Mauritania,Unione Sportiva Lecce,3000000.0,3000000.0,15,840,0,0,Volante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982267,Ibrahim Sulemana,2003-05-22,23.0,Midfield,Defensive Midfield,right,180.0,Ghana,Cagliari Calcio,6000000.0,7000000.0,65,3165,5,0,Volante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982855,Reda Belahyane,2004-06-01,22.0,Midfield,Defensive Midfield,right,173.0,Morocco,Società Sportiva Lazio S.p.A.,6800000.0,10000000.0,42,2456,0,3,Volante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984964,Niccolò Fortini,2006-02-13,20.0,Defender,Left-Back,right,185.0,Italy,Associazione Calcio Fiorentina,10000000.0,10000000.0,16,530,0,0,Lateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989621,İsak Vural,2006-05-28,20.0,Midfield,Central Midfield,right,189.0,Türkiye,Pisa Sporting Club,5000000.0,5000000.0,15,752,0,1,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990637,Zachary Athekame,2004-12-13,21.0,Defender,Right-Back,right,181.0,Switzerland,Associazione Calcio Milan,15000000.0,15000000.0,27,823,2,2,Lateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992569,Massimo Pessina,2007-12-25,18.0,Goalkeeper,Goalkeeper,right,188.0,Italy,Bologna Football Club 1909,3500000.0,3500000.0,4,352,0,0,Goleiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004344,Ali Dembélé,2004-01-05,22.0,Defender,Right-Back,right,189.0,France,Torino Calcio,300000.0,300000.0,15,383,1,0,Lateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005165,Giovane,2003-11-24,22.0,Attack,Centre-Forward,left,184.0,Brazil,Società Sportiva Calcio Napoli,12000000.0,12000000.0,33,1872,3,6,Centroavante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018259,Gift Orban,2002-07-17,23.0,Attack,Centre-Forward,right,178.0,Nigeria,Verona Hellas Football Club,7000000.0,20000000.0,28,2038,7,3,Centroavante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
