player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY_x,Performance_CrdR_x,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_CrdY_y,Performance_CrdR_y,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
860051,Ayoub Amraoui,2004-05-14,22.0,Defender,Left-Back,left,184.0,Morocco,Olympique Gymnaste Club Nice Côte d'Azur,1500000.0,2500000.0,7,292,0,0,Lateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860056,Aïman Maurer,2004-09-25,21.0,Midfield,Attacking Midfield,right,173.0,Morocco,Clermont Foot 63,500000.0,800000.0,15,556,0,1,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863204,Maxi Oyedele,2004-11-07,21.0,Midfield,Defensive Midfield,right,183.0,Poland,Racing Club de Strasbourg Alsace,5000000.0,5000000.0,8,447,1,0,Volante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872171,Lucas Beraldo,2003-11-24,22.0,Defender,Centre-Back,left,186.0,Brazil,Paris Saint-Germain Football Club,22000000.0,30000000.0,58,4592,4,1,Zagueiro,Lucas Beraldo,BRA,"DF,MF",21,2003,20,18,1567,17.4,2,1,3,2,0,0,2,0,0.11,0.06,0.17,0.11,0.17,2,14,4,28.6,0.8,0.23,0.14,0.5,0,0,2,0,0,15,7,0,2,18,21,,,0
883865,Rafik Messali,2003-04-28,23.0,Defender,Right-Back,right,177.0,Algeria,Toulouse Football Club,1500000.0,1500000.0,25,954,0,1,Lateral,Rafik Messali,FRA,MF,22,2003,12,5,502,5.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,,,0,0,2,0,0,11,9,0,9,12,6,,,0
885445,Hamza Igamane,2002-11-02,23.0,Attack,Centre-Forward,right,181.0,Morocco,Lille Olympique Sporting Club,18000000.0,18000000.0,13,428,5,1,Centroavante,Hamza Igamane,MAR,FW,22,2002,13,4,432,4.8,5,1,6,5,0,0,2,0,1.04,0.21,1.25,1.04,1.25,5,24,9,37.5,5.0,1.87,0.21,0.56,0,0,2,0,0,6,3,5,5,2,4,,,0
890719,Ethan Nwaneri,2007-03-21,19.0,Midfield,Attacking Midfield,left,176.0,England,Olympique de Marseille,35000000.0,55000000.0,9,322,2,1,Meia,Ethan Nwaneri,ENG,MF,18,2007,9,3,324,3.6,2,1,3,2,0,0,1,0,0.56,0.28,0.83,0.56,0.83,2,9,3,33.3,2.5,0.83,0.22,0.67,0,0,1,0,0,4,1,0,9,3,1,,,0
891998,Antoine Mendy,2004-05-27,22.0,Defender,Centre-Back,right,187.0,Senegal,Olympique Gymnaste Club Nice Côte d'Azur,10000000.0,10000000.0,64,3850,1,1,Zagueiro,Antoine Mendy,SEN,DF,21,2004,25,24,2097,23.3,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04,1,17,7,41.2,0.73,0.3,0.06,0.14,0,0,5,0,0,30,22,1,21,19,35,,,0
903359,Marius Broholm,2004-12-26,21.0,Attack,Right Winger,left,176.0,Norway,Lille Olympique Sporting Club,5000000.0,7000000.0,11,272,1,1,Ponta,Marius Broholm,NOR,MF,20,2004,11,3,279,3.1,1,1,2,0,1,1,0,0,0.32,0.32,0.65,0.0,0.32,1,4,3,75.0,1.29,0.97,0.0,0.0,1,1,0,0,0,4,8,0,14,2,6,,,0
903666,Ethan Mbappé,2006-12-29,19.0,Attack,Right Winger,left,180.0,France,Lille Olympique Sporting Club,8000000.0,9000000.0,31,822,3,1,Ponta,Ethan Mbappé,FRA,"MF,FW",18,2006,18,4,567,6.3,3,1,4,3,0,0,1,0,0.48,0.16,0.63,0.48,0.63,3,14,7,50.0,2.22,1.11,0.21,0.43,0,0,1,0,0,7,9,1,34,2,7,,,0
