player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto
829838,Hennes Behrens,2005-01-19,21.0,Defender,Left-Back,right,175.0,Germany,1. Fußballclub Heidenheim 1846,5000000.0,5000000.0,17,1347,1,2,Lateral
846310,Oscar Højlund,2005-01-04,21.0,Midfield,Central Midfield,right,184.0,Denmark,Eintracht Frankfurt Fußball AG,15000000.0,15000000.0,44,1804,2,2,Meia
848682,Kosta Nedeljkovic,2005-12-16,20.0,Defender,Right-Back,right,184.0,Serbia,RasenBallsport Leipzig,6000000.0,10000000.0,15,730,0,0,Lateral
855015,Farès Chaïbi,2002-11-28,23.0,Midfield,Attacking Midfield,right,183.0,Algeria,Eintracht Frankfurt Fußball AG,15000000.0,18000000.0,82,4728,5,18,Meia
863759,Bruno Ogbus,2005-12-17,20.0,Defender,Centre-Back,right,188.0,Switzerland,Sport-Club Freiburg,15000000.0,15000000.0,20,1192,0,0,Zagueiro
865682,Ezechiel Banzuzi,2005-02-16,21.0,Midfield,Central Midfield,right,191.0,Netherlands,RasenBallsport Leipzig,16000000.0,18000000.0,24,578,0,1,Meia
881297,Adam Daghim,2005-09-28,20.0,Attack,Right Winger,left,189.0,Denmark,Verein für Leibesübungen Wolfsburg,7500000.0,7500000.0,27,1358,2,3,Ponta
892160,Luka Vuskovic,2007-02-24,19.0,Defender,Centre-Back,right,193.0,Croatia,Hamburger Sport Verein,60000000.0,60000000.0,28,2442,6,1,Zagueiro
894914,Antonio Nusa,2005-04-17,21.0,Attack,Left Winger,right,183.0,Norway,RasenBallsport Leipzig,32000000.0,32000000.0,56,3596,7,7,Ponta
897424,Assan Ouédraogo,2006-05-09,20.0,Midfield,Central Midfield,right,191.0,Germany,RasenBallsport Leipzig,28000000.0,28000000.0,22,1002,4,3,Meia
905011,Ibrahim Maza,2005-11-24,20.0,Midfield,Attacking Midfield,right,180.0,Algeria,Bayer 04 Leverkusen Fußball,45000000.0,45000000.0,30,1924,4,5,Meia
910541,Fábio Baldé,2005-07-20,20.0,Attack,Left Winger,right,182.0,Portugal,Hamburger Sport Verein,5000000.0,5000000.0,16,440,1,1,Ponta
919515,Jeanuël Belocian,2005-02-17,21.0,Defender,Centre-Back,left,186.0,France,Verein für Leibesübungen Wolfsburg,12000000.0,20000000.0,27,1609,0,1,Zagueiro
923595,Max Moerstedt,2006-01-15,20.0,Attack,Centre-Forward,right,194.0,Germany,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,7000000.0,7000000.0,35,861,2,1,Centroavante
923945,Noahkai Banks,2006-12-01,19.0,Defender,Centre-Back,right,193.0,United States,Fußball-Club Augsburg 1907,20000000.0,22000000.0,31,2001,1,1,Zagueiro
924117,Finn Jeltsch,2006-07-17,19.0,Defender,Centre-Back,right,188.0,Germany,Verein für Bewegungsspiele Stuttgart 1893,35000000.0,35000000.0,35,2284,0,1,Zagueiro
926301,Tiago Pereira Cardoso,2006-04-07,20.0,Goalkeeper,Goalkeeper,right,190.0,Luxembourg,Borussia Verein für Leibesübungen 1900 Mönchengladbach,1500000.0,1500000.0,5,379,0,0,Goleiro
927353,Johan Manzambi,2005-10-14,20.0,Midfield,Central Midfield,right,182.0,Switzerland,Sport-Club Freiburg,50000000.0,50000000.0,38,2429,7,7,Meia
931838,Hugo Larsson,2004-06-27,22.0,Midfield,Central Midfield,right,187.0,Sweden,Eintracht Frankfurt Fußball AG,28000000.0,40000000.0,87,6110,7,4,Meia
939964,Jean-Mattéo Bahoya,2005-05-07,21.0,Attack,Left Winger,right,180.0,France,Eintracht Frankfurt Fußball AG,25000000.0,25000000.0,57,2370,5,7,Ponta
942497,Jahmai Simpson-Pusey,2005-11-04,20.0,Defender,Centre-Back,right,187.0,England,1. Fußball-Club Köln,9000000.0,9000000.0,11,864,0,0,Zagueiro
943795,Jovan Milosevic,2005-07-31,20.0,Attack,Centre-Forward,right,190.0,Serbia,Sportverein Werder Bremen von 1899,7000000.0,7000000.0,18,509,3,1,Centroavante
944331,Youssoupha Niang,2006-03-25,20.0,Attack,Right Winger,right,185.0,Germany,1. Fußball-Club Köln,2000000.0,2000000.0,10,187,0,0,Ponta
948279,Chema Andrés,2005-04-25,21.0,Midfield,Defensive Midfield,right,190.0,Spain,Verein für Bewegungsspiele Stuttgart 1893,20000000.0,20000000.0,25,1306,3,1,Volante
